,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
86,FDU Knights,10,2,8,0.2,-20.23,-0.36,,,,,2,2,,0,6,,714,783,,69.7,102.5,0.269,0.491,0.52,52.2,52.8,6.7,7.5,0.496,16.6,33.9,0.181
87,Florida Gators,11,7,4,0.636,21.17,8.54,,,,,4,0,,0,1,,922,783,,73.8,113.6,0.418,0.428,0.551,59.3,54.9,7.8,11.8,0.511,15.6,42.8,0.299
88,Florida A&M Rattlers,8,3,5,0.375,-16.22,3.45,,,,,2,1,,0,4,,563,663,,72.9,95.1,0.371,0.348,0.517,45.8,47.3,11.3,8.9,0.491,18.9,27,0.233
89,Florida Atlantic Owls,11,8,3,0.727,7.01,1.12,,,,,5,1,,1,1,,923,784,,68.9,120.4,0.322,0.423,0.578,55.3,48.3,9.1,17.8,0.545,13.5,37.9,0.244
90,Florida Gulf Coast Eagles,11,5,6,0.455,-1.62,0.38,,,,,4,3,,1,3,,917,901,,72.6,112.3,0.318,0.392,0.542,52.4,51.8,12.5,10,0.507,12.9,36.2,0.234
91,Florida International Panthers,9,5,4,0.556,-0.23,4.05,,,,,5,1,,0,3,,756,710,,75.7,111,0.377,0.384,0.547,49.6,60.2,14.2,14.4,0.52,13.8,36,0.249
92,Florida State Seminoles,11,5,6,0.455,4.77,3.32,,,,,5,1,,0,2,,922,906,,78,107.5,0.33,0.53,0.531,47.8,54.8,12.8,11.6,0.498,14.3,33.3,0.232
93,Fordham Rams,12,8,4,0.667,-3.84,-10.62,,,,,6,2,,0,1,,916,750,,67.9,112.3,0.225,0.374,0.547,58,57.3,10.7,8.6,0.53,14,37.1,0.149
94,Fresno State Bulldogs,11,6,5,0.545,2.32,0.52,,,,,5,3,,0,2,,841,786,,71.5,106.9,0.354,0.42,0.564,51.5,52.7,10.6,5.9,0.533,17,31.3,0.252
95,Furman Paladins,12,8,4,0.667,-1.41,0.15,,,,,5,1,,2,1,,938,839,,68.5,114.1,0.306,0.501,0.578,56.5,59.9,8.3,10.5,0.566,16.5,36.4,0.194
96,Gardner Webb Runnin Bulldogs,14,2,12,0.143,-24.51,0.22,,,,,2,3,,0,7,,991,1220,,72.5,97.6,0.333,0.375,0.521,46.3,43,8.4,7.9,0.486,17.3,26.2,0.235
97,George Mason Patriots,11,10,1,0.909,10.66,-2.94,,,,,8,0,,0,1,,874,714,,67.6,117.5,0.512,0.352,0.598,55.6,52.5,8.9,10.3,0.55,15.5,34.5,0.386
98,George Washington Colonials,12,8,4,0.667,11.61,0.36,,,,,5,1,,1,0,,1042,907,,73,119,0.453,0.424,0.596,54.6,54.6,10.6,9.8,0.558,14.9,35.7,0.332
99,Georgetown Hoyas,11,8,3,0.727,4.43,-0.11,,1,0,,6,0,,2,1,,860,810,,68.5,111.6,0.416,0.35,0.539,51.4,60.1,10.5,14,0.49,10.8,31.4,0.311
100,Georgia Bulldogs,11,10,1,0.909,25.31,-2.6,,,,,7,0,,1,0,,1095,788,,78,126.1,0.422,0.448,0.611,54.7,50.7,13.5,18.9,0.57,12.5,38,0.327
101,Georgia Southern Eagles,14,9,5,0.643,-6.59,-7.67,,1,0,,6,0,,3,3,,1164,1090,,73.8,112.6,0.389,0.478,0.561,47.5,43.8,12.1,9.4,0.525,12.8,29.7,0.28
102,Georgia State Panthers,12,2,10,0.167,-18.5,-2.04,,0,1,,2,1,,0,7,,785,932,,71.4,91.6,0.347,0.469,0.473,46.2,51.2,9.4,7.2,0.419,15.9,27.6,0.265
103,Georgia Tech Yellow Jackets,11,7,4,0.636,1.75,-2.16,,,,,7,1,,0,1,,811,768,,71.7,101.7,0.334,0.327,0.518,52.5,62.2,10,12.2,0.491,15.9,32.3,0.217
104,Gonzaga Bulldogs,12,11,1,0.917,31.39,7.39,,,,,6,0,,1,0,,1109,795,,74.4,124.2,0.305,0.305,0.601,58,56.7,12.2,11.4,0.58,12.2,37.4,0.216
105,Grambling Tigers,10,4,6,0.4,-8,-1.11,,,,,2,0,,1,6,,705,723,,70.3,100.3,0.462,0.352,0.547,47.3,52.3,12.2,9.8,0.504,18.9,28,0.328
106,Grand Canyon Antelopes,10,6,4,0.6,7.18,-0.02,,,,,5,1,,0,1,,749,677,,69.5,107.7,0.367,0.37,0.534,55.5,55.2,9.1,8.3,0.487,14.6,35,0.28
107,Green Bay Phoenix,13,6,7,0.462,-6.01,2.18,,1,2,,3,1,,1,5,,945,975,,66.8,107.8,0.456,0.41,0.562,49.1,53.7,7.4,8.5,0.523,14.4,23.9,0.321
108,Hampton Pirates,12,6,6,0.5,-10.25,-8.15,,,,,3,0,,2,4,,889,814,,68.2,108.6,0.41,0.388,0.533,53,53.6,10.6,10.9,0.492,14.6,36.3,0.289
109,Harvard Crimson,11,5,6,0.455,-6.5,-5.2,,,,,3,1,,2,4,,766,750,,65.7,106.1,0.272,0.36,0.56,50.3,54.6,12,8.1,0.526,15.7,26.6,0.213
110,Hawaii Rainbow Warriors,12,10,2,0.833,8.52,-5.88,,2,0,,10,1,,0,1,,965,757,,71.9,111.9,0.5,0.394,0.572,57.1,53.1,9,8.5,0.527,16,34.7,0.361
